Type	x.0.m.cx	x.0.m.cy	x.0.m.majoraxis	x.0.m.eccentricity	x.0.m.theta	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.cx	x.a.m.cy	x.a.m.majoraxis	x.a.m.eccentricity	x.a.m.theta	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.cx	x.Ba.m.cy	x.Ba.m.majoraxis	x.Ba.m.eccentricity	x.Ba.m.theta	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2	h.f13.s2
C1	NA	206.139741654085	47.6379802046636	93.7178776046957	0.114817151742367	0.130542758963654	5961	618	43.3188312667529	7.35954354600841	22.7922328741529	61.4315768168023	0.466856791366102	0.159852729778983	0.180237647058824	0.137254901960784	0.2	0.47843137254902	0.709803921568627	0.781960784313724	205.404308896805	46.3295126597975	94.2455470704623	0.22155967675445	0.0912366371543091	0.326383566701796	0.53667441578351	0.552527688140424	-0.893971063756637	-0.584158521973295	0.343897284389634	1.19958923478439	1.53476768686543	205.143512115923	47.0829330690988	99.9235543488767	0.136832754336981	0.0909237716850759	0.00367887496313426	28.8346763362879	0.41184191047475	25.5126921229316	0.242166296382593	30.2068672217745	891.522186255837	1.53098721609035	2.52845476843271	28.8346763362879	1.06901454569142	0.0442877578324222	0.328940423686466	0.00327149295677817	39.3983618763961	0.225910792886078	26.448205138583	0.192240220964707	30.4728220402085	901.35616465902	1.5079863600068	2.56071935680064	39.3983618763961	1.13218100803053	0.0226381179921324	0.238637185904963
C2	NA	449.003335557038	23.9733155436958	51.1035918381143	0.503097870230961	-0.447947849521495	1499	408	21.8158777087337	3.85409785703694	14.0417856001042	32.7913812459275	0.441666993682063	0.144111046024825	0.145352941176471	0.15678431372549	0.215686274509804	0.427450980392157	0.694509803921568	0.772705882352941	448.900613060862	23.5232815045165	51.0312489387259	0.483448917028354	-0.421483662516934	0.365218922468092	0.492117339511303	0.49767190497702	-0.7054598020612	-0.429439457684929	0.374415750794425	1.21078761677377	1.46966844791965	449.281301121656	23.6582741122332	54.3005297036102	0.411570078672262	-0.448115499711925	0.0046150591790481	29.8478468899522	0.287139798566073	21.9352737254184	0.238785958036086	28.4380861244019	780.859054751479	1.47578268534542	2.47325572287912	29.8478468899522	1.07257796053602	0.0318631418495967	0.277414680919048	0.00435111543059718	43.2565947242206	0.0624906573283029	24.0699539489112	0.181157941168958	28.828137490008	798.660906775676	1.44862533759278	2.4735531862496	43.2565947242206	1.15154057251374	0.0427080301089025	0.319880638043509
C3	NA	720.268518518518	8.82253086419753	46.9456243099557	0.895786879662098	0.0645841278123998	648	167	14.5774542522003	5.07829943674443	5.81467959245848	25.4142156095831	0.446847010409102	0.159886538107771	0.180237647058824	0.137254901960784	0.172549019607843	0.466666666666667	0.682352941176471	0.731490196078431	720.379403280198	8.78524317076804	46.6494736211413	0.888145537974953	0.0565646275439402	0.496324658920414	0.664000280621149	0.563801265008198	-1.19676456841313	-0.840207273112835	0.613510913356103	1.44047222866972	1.85404465936182	719.698919540942	8.08259845855667	49.7646633507058	0.881033348551346	0.0422696498918794	0.0043190069381338	29.7730651508526	0.421199267830482	26.71961600606	0.239833774294313	28.7787494534325	816.43689535488	1.51464307743889	2.46714935838079	29.7730651508526	1.07339657598837	0.0623199285123888	0.3830739368837	0.00463986387910388	40.7670979667283	0.232839404085549	27.5701198574556	0.183953444793719	28.9223659889094	818.352234362337	1.48445694140288	2.40532783961174	40.7670979667283	1.12272508783411	0.0798527294943256	0.425814608657419
C4	NA	560.767023554604	47.6475374732334	86.9949183775217	0.454813234386007	-1.35663909918722	4670	620	37.8943350039379	7.29776625408279	18.8760143513922	53.2499951390617	0.495683755300836	0.161877010885159	0.174423529411765	0.156862745098039	0.215686274509804	0.501960784313725	0.756862745098039	0.835294117647059	560.995473373032	47.4747113682374	84.2503889929794	0.392213199807265	-1.19390777647575	0.350147528313288	0.536853348900456	0.53914657268779	-1.03388669723549	-0.602598284184862	0.377901642874617	1.18535315859021	1.47871875231157	560.749042056034	48.8067544373664	91.2723562173218	0.365622533417035	-0.832801359433371	0.00364588946544693	28.6573730217677	0.444050555221674	26.7733623901674	0.248828446690626	31.9667485573902	999.767674673821	1.54748495461834	2.54928739425231	28.6573730217677	1.06639724038782	0.0525416515024143	0.35849093862714	0.00331886223577041	38.9126606377915	0.226014515708794	26.1378491118778	0.196053580404828	31.8964778676821	985.157935248347	1.50701917821824	2.56877182222544	38.9126606377915	1.13044743867215	0.0271198685066548	0.261125087253651
C5	NA	990.233583489681	78.7443714821764	62.6441331076039	0.491967421095797	-0.940619738555631	2132	587	26.3877558834782	5.85067259401319	11.8202504444108	41.8724975946086	0.463661111724239	0.154016411530949	0.162795294117647	0.129411764705882	0.207843137254902	0.454901960784314	0.725490196078431	0.796078431372549	990.135547497957	78.3336678911748	62.7770032224679	0.482225475512584	-0.919070418933533	0.407773021031911	0.556203993918128	0.548244709631617	-0.931609433398523	-0.554429312403019	0.425648867854627	1.31300996450838	1.59854915909155	990.208123258967	78.5076180151361	69.7124768462546	0.538923829935973	-0.811782927828531	0.0039109124492329	29.9261517615176	0.375098982196951	24.9447135697814	0.255496599998097	29.9210027100271	872.381001661265	1.5215608291792	2.5296961429128	29.9261517615176	1.07096798279122	0.0470629063167792	0.338798270879155	0.00365358928938565	42.6067677946324	0.125949418912393	25.3731705673233	0.204921221605569	29.6184364060677	846.702104337681	1.47920774103457	2.53433749644955	42.6067677946324	1.14906112587585	0.0361301243578947	0.298386879270449
C6	NA	896.313475997687	71.7807981492192	56.6597640620591	0.532922228868343	0.516354621310835	1729	426	24.9705290680208	5.00756812464053	16.1852608023394	40.4988290633527	0.456448814343551	0.14687155186529	0.162795294117647	0.15121568627451	0.219607843137255	0.450980392156863	0.698039215686274	0.802823529411765	896.213410452879	71.277540920068	56.5191808156306	0.52577475394572	0.519527255096788	0.379884483472288	0.504998906003658	0.533074984062796	-0.83159121758608	-0.451158236396471	0.390735981577142	1.18003059982661	1.53081439888478	896.675909190393	71.5247255316762	62.0157455887507	0.515568633116336	0.618458021249943	0.00434716786124154	29.0436131983012	0.32953131594725	22.6591869904664	0.254046129720884	29.4049330284221	836.669875854515	1.49298682091176	2.49162340099078	29.0436131983012	1.06542907375062	0.0421879279565113	0.319087882452434	0.00421048707966278	39.2739531582683	0.123492902989351	23.4036709412925	0.190329458486671	29.0993612491128	814.418726541167	1.45740046601597	2.47715795616153	39.2739531582683	1.12986956764905	0.0416341193172482	0.316179905725112
C7	NA	44.6476531256578	96.5097874131762	87.4628733212749	0.46721931023879	-0.992615735629804	4751	654	38.6512421498798	6.61637234168388	17.5370526763654	51.2537689169724	0.448676645989905	0.161292553341061	0.186051764705882	0.129411764705882	0.188235294117647	0.454901960784314	0.701960784313725	0.772549019607843	44.3972577790696	95.6301276367155	86.459902792249	0.463760204220744	-0.922636068528419	0.315694802081754	0.550149156271854	0.555194034362335	-1.08539988955086	-0.669263826845614	0.36312538001319	1.14969219361641	1.45511279273602	44.2774525141856	96.199021156316	92.3883921672959	0.405886402164217	-1.07656641096382	0.00365786627212948	31.0465868467344	0.384917283151304	26.2377330692998	0.251103044373401	29.0906202122227	829.312733516722	1.53325480683136	2.53602467918186	31.0465868467344	1.08188532537233	0.0438638461452161	0.327879331421092	0.00330545838440613	42.7529719448407	0.151199734926347	26.1843535540899	0.186563982573034	29.1348074179743	822.053868195517	1.49300165344443	2.55336072649162	42.7529719448407	1.14852422497264	0.0198653297012613	0.223477029022589
C8	NA	364.165765765766	68.2387387387387	43.8747392206603	0.445151328233296	-0.376585307014891	1110	249	19.4235398093992	2.56062759505338	12.7570993874348	26.9062893030236	0.426002473061297	0.127275756668317	0.127910588235294	0.168980392156863	0.223529411764706	0.419607843137255	0.643137254901961	0.717294117647059	363.744543041964	67.9450903964173	44.7041287755727	0.476670052798131	-0.313944824429354	0.341482741684795	0.378474125886766	0.373502735557028	-0.493510862438657	-0.293521399833538	0.345399563832576	0.987885800823391	1.2688683870496	363.749637488247	68.2427305483268	48.2912314384198	0.496779452837014	-0.171568555896402	0.00544682039113532	25.5382025382025	0.215719250427457	17.2812886534073	0.249426440952791	27.5558145558146	723.176512279331	1.41026885097403	2.3881896858195	25.5382025382025	1.03946559860844	0.033513477969045	0.279599033347889	0.00542363574700825	34.5591647331787	0.0311518191073389	18.8351806891651	0.189862695798628	28.0185614849188	746.149144813339	1.38460596213065	2.37304812660106	34.5591647331787	1.09902579109378	0.0610322465553488	0.372515707903603
C9	NA	702.211030082042	125.752202977818	96.4875837929321	0.294461179599955	-0.0821725149100909	6582	635	45.9771719889594	6.01365749826916	29.2589603453971	66.6051131010389	0.478627391400194	0.157178775317942	0.168609411764706	0.129411764705882	0.207843137254902	0.486274509803922	0.725490196078431	0.796078431372549	701.809833531051	124.515191085142	94.6744087515738	0.315073389636099	-0.195321957288347	0.301835106909498	0.471453547642084	0.459470313972467	-0.872663315960325	-0.543551297497839	0.340281461166676	1.0249801892709	1.28238683324972	702.625668046005	125.21009027689	103.867427777009	0.424991302471189	-0.37856499476193	0.00353492273733391	30.7820266922401	0.359522767569034	25.0305393646901	0.213865558469279	30.9711100455526	932.656385010498	1.52087652790496	2.5536715395745	30.7820266922401	1.08170220641418	0.0296100946826015	0.27180749774237	0.00348495228555913	37.1461081794195	0.211012270858818	24.5403586186657	0.185457290603845	31.1784300791557	938.482789121211	1.48891235275992	2.55052206266567	37.1461081794195	1.119426848829	0.0175545564394484	0.210154195519145
C10	NA	811.515585509688	133.863100252738	73.8070895545187	0.569492946489801	-0.665608250737867	2374	684	27.8630590845212	9.4166678701937	3.2944646996741	52.260590191186	0.460060789269372	0.162039559126935	0.174423529411765	0.136196078431373	0.2	0.450980392156863	0.733333333333333	0.843137254901961	811.264223161357	133.714624767062	73.0029492582614	0.571786498073154	-0.625219139695615	0.408033596913318	0.527755377965857	0.558417703925307	-0.804396984644424	-0.462622488751452	0.42998761801019	1.23876592047812	1.58157449338439	812.543360020722	131.427898254841	77.0141151851497	0.554376913836952	-0.581296738533338	0.00356858369312202	38.4513198281154	0.271667862501123	27.3968304077304	0.229369489483744	29.873050951504	870.781534664755	1.52440842911945	2.57293103520339	38.4513198281154	1.12481564671409	0.035363853021261	0.29743262398036	0.00338497823394253	49.1054897739505	0.081171475473258	27.7217921860028	0.166479050548265	29.3057050592035	831.498972491135	1.48993087402078	2.56312271704618	49.1054897739505	1.17485656722995	0.0369129322788209	0.30313611723065
